filepath,class_id,class_name,source_dataset,original_split
asl_clean_mini/train/0/asl_hg_raw_P1_0_100.jpg,0,0,asl_hg_raw,train
asl_clean_mini/train/0/combine_asl_hand1_0_bot_seg_2_cropped.jpeg,0,0,combine_asl,train
asl_clean_mini/train/0/combine_asl_hand1_0_top_seg_3_cropped.jpeg,0,0,combine_asl,train
asl_clean_mini/train/0/combine_asl_hand2_0_bot_seg_2_cropped.jpeg,0,0,combine_asl,train
asl_clean_mini/train/0/combine_asl_hand2_0_dif_seg_1_cropped.jpeg,0,0,combine_asl,train
asl_clean_mini/train/0/combine_asl_hand2_0_top_seg_3_cropped.jpeg,0,0,combine_asl,train
asl_clean_mini/train/0/combine_asl_hand3_0_dif_seg_1_cropped.jpeg,0,0,combine_asl,train
asl_clean_mini/train/0/combine_asl_hand3_0_dif_seg_4_cropped.jpeg,0,0,combine_asl,train
asl_clean_mini/train/0/combine_asl_hand5_0_dif_seg_4_cropped.jpeg,0,0,combine_asl,train
asl_clean_mini/train/0/combine_asl_hand5_0_dif_seg_5_cropped.jpeg,0,0,combine_asl,train
asl_clean_mini/train/1/asl_hg_raw_P10_1_1000.jpg,1,1,asl_hg_raw,train
asl_clean_mini/train/1/combine_asl_hand1_1_bot_seg_2_cropped.jpeg,1,1,combine_asl,train
asl_clean_mini/train/1/combine_asl_hand1_1_bot_seg_4_cropped.jpeg,1,1,combine_asl,train
asl_clean_mini/train/1/combine_asl_hand1_1_top_seg_3_cropped.jpeg,1,1,combine_asl,train
asl_clean_mini/train/1/combine_asl_hand3_1_dif_seg_4_cropped.jpeg,1,1,combine_asl,train
asl_clean_mini/train/1/combine_asl_hand3_1_dif_seg_5_cropped.jpeg,1,1,combine_asl,train
asl_clean_mini/train/1/combine_asl_hand4_1_bot_seg_3_cropped.jpeg,1,1,combine_asl,train
asl_clean_mini/train/1/combine_asl_hand5_1_bot_seg_1_cropped.jpeg,1,1,combine_asl,train
asl_clean_mini/train/1/combine_asl_hand5_1_bot_seg_2_cropped.jpeg,1,1,combine_asl,train
asl_clean_mini/train/1/combine_asl_hand5_1_bot_seg_5_cropped.jpeg,1,1,combine_asl,train
asl_clean_mini/train/2/asl_hg_raw_P3_2_250.jpg,2,2,asl_hg_raw,train
asl_clean_mini/train/2/asl_hg_raw_P8_2_750.jpg,2,2,asl_hg_raw,train
asl_clean_mini/train/2/asl_hg_raw_P8_2_800.jpg,2,2,asl_hg_raw,train
asl_clean_mini/train/2/combine_asl_hand1_2_right_seg_1_cropped.jpeg,2,2,combine_asl,train
asl_clean_mini/train/2/combine_asl_hand1_2_right_seg_4_cropped.jpeg,2,2,combine_asl,train
asl_clean_mini/train/2/combine_asl_hand2_2_dif_seg_1_cropped.jpeg,2,2,combine_asl,train
asl_clean_mini/train/2/combine_asl_hand2_2_dif_seg_2_cropped.jpeg,2,2,combine_asl,train
asl_clean_mini/train/2/combine_asl_hand3_2_dif_seg_1_cropped.jpeg,2,2,combine_asl,train
asl_clean_mini/train/2/combine_asl_hand4_2_bot_seg_2_cropped.jpeg,2,2,combine_asl,train
asl_clean_mini/train/2/combine_asl_hand5_2_bot_seg_2_cropped.jpeg,2,2,combine_asl,train
asl_clean_mini/train/3/asl_hg_raw_P1_3_1.jpg,3,3,asl_hg_raw,train
asl_clean_mini/train/3/asl_hg_raw_P6_3_501.jpg,3,3,asl_hg_raw,train
asl_clean_mini/train/3/combine_asl_hand1_3_bot_seg_5_cropped.jpeg,3,3,combine_asl,train
asl_clean_mini/train/3/combine_asl_hand1_3_left_seg_1_cropped.jpeg,3,3,combine_asl,train
asl_clean_mini/train/3/combine_asl_hand1_3_top_seg_3_cropped.jpeg,3,3,combine_asl,train
asl_clean_mini/train/3/combine_asl_hand2_3_bot_seg_2_cropped.jpeg,3,3,combine_asl,train
asl_clean_mini/train/3/combine_asl_hand2_3_bot_seg_4_cropped.jpeg,3,3,combine_asl,train
asl_clean_mini/train/3/combine_asl_hand2_3_left_seg_3_cropped.jpeg,3,3,combine_asl,train
asl_clean_mini/train/3/combine_asl_hand2_3_top_seg_2_cropped.jpeg,3,3,combine_asl,train
asl_clean_mini/train/3/combine_asl_hand3_3_dif_seg_3_cropped.jpeg,3,3,combine_asl,train
asl_clean_mini/train/4/asl_hg_raw_P3_4_201.jpg,4,4,asl_hg_raw,train
asl_clean_mini/train/4/asl_hg_raw_P8_4_750.jpg,4,4,asl_hg_raw,train
asl_clean_mini/train/4/combine_asl_hand1_4_dif_seg_3_cropped.jpeg,4,4,combine_asl,train
asl_clean_mini/train/4/combine_asl_hand1_4_left_seg_1_cropped.jpeg,4,4,combine_asl,train
asl_clean_mini/train/4/combine_asl_hand1_4_right_seg_3_cropped.jpeg,4,4,combine_asl,train
asl_clean_mini/train/4/combine_asl_hand1_4_right_seg_5_cropped.jpeg,4,4,combine_asl,train
asl_clean_mini/train/4/combine_asl_hand1_4_top_seg_3_cropped.jpeg,4,4,combine_asl,train
asl_clean_mini/train/4/combine_asl_hand2_4_bot_seg_3_cropped.jpeg,4,4,combine_asl,train
asl_clean_mini/train/4/combine_asl_hand2_4_bot_seg_5_cropped.jpeg,4,4,combine_asl,train
asl_clean_mini/train/4/combine_asl_hand4_4_bot_seg_1_cropped.jpeg,4,4,combine_asl,train
asl_clean_mini/train/5/asl_hg_raw_P1_5_1.jpg,5,5,asl_hg_raw,train
asl_clean_mini/train/5/asl_hg_raw_P3_5_250.jpg,5,5,asl_hg_raw,train
asl_clean_mini/train/5/asl_hg_raw_P5_5_500.jpg,5,5,asl_hg_raw,train
asl_clean_mini/train/5/combine_asl_hand1_5_right_seg_5_cropped.jpeg,5,5,combine_asl,train
